node,x_c,side,regime,region,F_delta,F_A,F_B,F_Psi,F_Ct1,F_Ct2,F_max
85,0.662467,-1,turbulent,mid,-1.718299e-07,-1.930378e-09,-3.070677e-07,1.581821e-08,2.122592e-09,-7.415435e-20,3.070677e-07
86,0.682373,-1,turbulent,mid,-1.829967e-07,-1.968850e-09,-3.252358e-07,1.656403e-08,1.924532e-09,-5.441475e-20,3.252358e-07
87,0.702274,-1,turbulent,mid,-1.972437e-07,-4.259312e-09,-3.485531e-07,1.440261e-08,1.696444e-09,-3.247474e-20,3.485531e-07
88,0.722168,-1,turbulent,mid,-2.103909e-07,-3.897872e-09,-3.694765e-07,1.635437e-08,1.458129e-09,-2.120660e-20,3.694765e-07
89,0.742057,-1,turbulent,mid,-2.288768e-07,-6.195213e-09,-3.984606e-07,1.509958e-08,1.185287e-09,-1.700811e-20,3.984606e-07
90,0.761940,-1,turbulent,mid,-2.490298e-07,-5.934636e-09,-4.293623e-07,1.725793e-08,8.735463e-10,-7.481003e-21,4.293623e-07
91,0.781818,-1,turbulent,mid,-2.757015e-07,-6.979721e-09,-4.702205e-07,1.878588e-08,4.973226e-10,-2.591665e-21,4.702205e-07
92,0.801688,-1,turbulent,mid,-3.074325e-07,-8.987371e-09,-5.176918e-07,1.912559e-08,9.437441e-11,-6.648907e-21,5.176918e-07
93,0.821553,-1,turbulent,mid,-3.462727e-07,-1.249292e-08,-5.752455e-07,1.787264e-08,-3.840600e-10,2.205108e-21,5.752455e-07
94,0.841411,-1,turbulent,mid,-3.959948e-07,-7.118433e-09,-6.494391e-07,2.754038e-08,-1.058725e-09,3.105762e-21,6.494391e-07
95,0.861262,-1,turbulent,mid,-4.663169e-07,-4.670714e-09,-7.501930e-07,3.711478e-08,-1.829859e-09,-1.031398e-20,7.501930e-07
96,0.881106,-1,turbulent,mid,-5.293476e-07,-2.227846e-08,-8.405527e-07,2.703448e-08,-2.666695e-09,3.566852e-21,8.405527e-07
97,0.900943,-1,turbulent,te_band,-5.242471e-07,6.930252e-08,-8.447934e-07,8.842088e-08,-3.796764e-09,5.068011e-21,8.447934e-07
98,0.920772,-1,turbulent,te_band,-4.695270e-07,5.635106e-08,-8.055941e-07,1.060458e-07,-4.688374e-09,-1.474731e-20,8.055941e-07
99,0.940593,-1,turbulent,te_band,-1.139683e-06,-9.415625e-08,-1.738733e-06,-5.261718e-08,-9.932074e-09,-2.762116e-21,1.738733e-06
100,0.960405,-1,turbulent,te_band,-8.352582e-07,-2.650658e-07,-1.292495e-06,-1.166446e-07,-8.229579e-09,1.596977e-20,1.292495e-06
101,0.980207,-1,turbulent,te_band,-7.556717e-07,-4.201947e-07,-1.031476e-06,-3.407637e-07,-4.877660e-09,2.872959e-20,1.031476e-06
102,1.000000,-1,turbulent,te_band,-5.998644e-07,4.367963e-07,-9.876683e-07,3.838672e-07,-8.957966e-09,-7.359310e-21,9.876683e-07
103,0.000000,-1,inflow_pin,le_inflow,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
104,0.980207,1,turbulent,te_band,-1.673118e-06,1.184814e-07,-2.806082e-06,3.381517e-08,-3.647241e-08,4.484913e-23,2.806082e-06
105,0.960405,1,turbulent,te_band,-2.026348e-06,-5.795788e-07,-2.949724e-06,-2.263536e-07,-1.611428e-08,-7.411491e-22,2.949724e-06
106,0.940593,1,turbulent,te_band,-1.497546e-06,2.796300e-07,-2.404798e-06,3.269846e-07,-1.940359e-08,-4.288933e-22,2.404798e-06
107,0.920772,1,turbulent,te_band,-9.025793e-07,1.345176e-07,-1.537339e-06,1.595274e-07,-1.360838e-08,-7.434650e-22,1.537339e-06
108,0.900943,1,turbulent,te_band,-8.514483e-07,1.350756e-08,-1.418775e-06,5.295871e-08,-1.059617e-08,-7.227566e-22,1.418775e-06
109,0.881106,1,turbulent,mid,-8.130566e-07,4.946249e-08,-1.330645e-06,9.594999e-08,-9.337205e-09,-8.290637e-22,1.330645e-06
110,0.861262,1,turbulent,mid,-7.442781e-07,2.379837e-08,-1.236453e-06,7.231983e-08,-8.122433e-09,-1.125725e-21,1.236453e-06
111,0.841411,1,turbulent,mid,-6.583801e-07,1.399429e-08,-1.115793e-06,5.876923e-08,-6.929376e-09,-1.205469e-21,1.115793e-06
112,0.821553,1,turbulent,mid,-5.747445e-07,2.302788e-08,-9.896368e-07,6.253559e-08,-5.815171e-09,-1.491801e-21,9.896368e-07
113,0.801688,1,turbulent,mid,-5.275396e-07,1.537152e-08,-9.218736e-07,5.158571e-08,-5.024026e-09,-1.899728e-21,9.218736e-07
114,0.781818,1,turbulent,mid,-4.905485e-07,9.273390e-09,-8.684597e-07,4.323353e-08,-4.350301e-09,-2.201473e-21,8.684597e-07
115,0.761940,1,turbulent,mid,-4.518084e-07,1.112669e-08,-8.094487e-07,4.336523e-08,-3.685777e-09,-2.686392e-21,8.094487e-07
116,0.742057,1,turbulent,mid,-4.283691e-07,1.141885e-08,-7.752463e-07,4.103473e-08,-3.147682e-09,-3.331860e-21,7.752463e-07
117,0.722168,1,turbulent,mid,-4.056979e-07,2.223813e-09,-7.410820e-07,2.984423e-08,-2.639686e-09,-3.982984e-21,7.410820e-07
118,0.702274,1,turbulent,mid,-3.881286e-07,-2.318349e-10,-7.149204e-07,2.681666e-08,-2.197680e-09,-4.842570e-21,7.149204e-07
119,0.682373,1,turbulent,mid,-3.743101e-07,5.978661e-10,-6.939918e-07,2.805539e-08,-1.773202e-09,-5.923086e-21,6.939918e-07
120,0.662467,1,turbulent,mid,-3.580203e-07,2.527299e-09,-6.682970e-07,3.037074e-08,-1.330246e-09,-7.195415e-21,6.682970e-07
121,0.642556,1,turbulent,mid,-3.465070e-07,9.644536e-09,-6.503372e-07,3.759616e-08,-9.299095e-10,-8.815478e-21,6.503372e-07
122,0.622638,1,turbulent,mid,-3.382246e-07,1.011633e-08,-6.376325e-07,3.680984e-08,-5.513480e-10,-1.084123e-20,6.376325e-07
