node,x_c,F_delta,F_A,F_B,F_Psi,F_Ct1,F_Ct2,F_max
145,0.16340348166569432,-2.446170724074498e-07,-1.3185869815655218e-07,-5.962813538640136e-07,-1.6592824978732181e-07,2.94485110780148e-09,-2.457657979887355e-17,5.962813538640136e-07
146,0.143504227740985,-2.7168088825740013e-07,1.993823980680484e-07,-6.724119011743625e-07,2.627370009981771e-07,-1.952009058740468e-09,-1.3945611670835277e-16,6.724119011743625e-07
147,0.12365268683703401,1.750625646394796e-07,7.034278292347768e-10,4.393225115634603e-07,9.883611013418408e-09,-1.7165168341631917e-09,-1.5820751759309016e-16,4.393225115634603e-07
148,0.10387043514563422,2.4624137966399732e-08,-5.374631375435064e-08,9.196130339245138e-08,-6.208709895013291e-08,4.4289736926031344e-09,-6.000950349231352e-16,9.196130339245138e-08
149,0.08419196317413082,2.587840960902144e-07,2.929106188748762e-10,7.215760539452635e-07,4.368020651816504e-09,5.692396427674638e-09,5.534636392284564e-16,7.215760539452635e-07
150,0.06467731107459346,4.2820387436686353e-07,3.3794928333660746e-08,1.2416602588122296e-06,4.252430373452633e-08,8.654750586537282e-09,-3.474096721258357e-14,1.2416602588122296e-06
151,0.04544492434868167,3.0822166673072627e-07,7.1440738706497506e-09,8.156686137968729e-07,7.781797741393957e-09,1.0985181873469597e-17,0.0,8.156686137968729e-07
152,0.02677973695352772,1.7123173094319946e-07,1.3176232223743521e-08,8.442838434862069e-08,-6.114949043332719e-10,0.0,0.0,1.7123173094319946e-07
153,0.009658372839029162,-3.187554387107383e-17,-3.552713678800501e-15,5.7476674244702486e-15,-2.4518619838040597e-15,0.0,0.0,5.7476674244702486e-15
154,0.00965837291491934,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,0.02677973714879848,0.002462760872358106,-0.0002185424486819109,-0.005837400804419301,0.0011147179403095805,0.0,0.0,0.005837400804419301
156,0.0454449246606789,0.002466781610648029,-0.0002182609808106331,-0.005841851115923162,0.0011162137115232665,0.0,0.0,0.005841851115923162
157,0.06467731150134615,-6.012398579847625e-07,-2.6346190505327147e-07,2.6931037003003773e-06,1.356577054896047e-05,1.0989833266670244e-08,-6.182864151307005e-12,1.356577054896047e-05
158,0.08419196371362062,7.313943012602605e-06,6.925643437665135e-06,3.5622717981119645e-05,1.724009118120128e-05,-1.0529000962722707e-06,9.561111320732535e-10,3.5622717981119645e-05
159,0.1038704358000066,0.00011216354285281167,1.2299397063731214e-05,0.00013283821407671578,2.074668773643784e-06,-1.4146533755621713e-06,1.479954203251375e-09,0.00013283821407671578
160,0.12365268760356248,-7.281916358521695e-05,-1.6941567308301396e-05,-0.00010906142279331315,-1.0232701737022311e-05,1.057060548926665e-06,-1.636989801172993e-09,0.00010906142279331315
161,0.14350422862265722,8.9756408373492e-08,-8.840719230214773e-09,4.517903952870155e-08,-3.1869683797957124e-08,-1.1459123061099267e-07,-6.4083476779301634e-12,1.1459123061099267e-07
