state,z,gamma,resid_localfit,abs_F,d_up,d_lo,asym,dz_up,dz_lo,shared_up,shared_lo
conf_picard_medium,0.87921,0.067587,0.001452,1.82e-04,0.00744,0.00749,0.0030,0.00187,0.00535,0,0
conf_picard_medium,0.88642,0.066714,0.001533,1.67e-04,0.00746,0.00744,0.0016,0.00187,0.00531,0,0
conf_picard_medium,0.89362,0.066062,0.001588,1.52e-04,0.00748,0.00732,0.0109,0.00185,0.00517,0,0
conf_picard_medium,0.90083,0.065797,0.001466,1.39e-04,0.00749,0.00737,0.0079,0.00185,0.00520,0,0
conf_picard_medium,0.90803,0.067652,0.000626,1.19e-04,0.00743,0.00744,0.0003,0.00529,0.00539,0,1
conf_picard_medium,0.91524,0.069477,0.002639,1.13e-04,0.00725,0.00737,0.0079,0.00509,0.00182,0,1
conf_picard_medium,0.92245,0.066721,0.000121,9.89e-05,0.00651,0.00728,0.0553,0.00423,0.00531,0,0
conf_picard_medium,0.92965,0.066187,0.000035,9.63e-05,0.00723,0.00711,0.0084,0.00545,0.00524,1,1
conf_picard_medium,0.93686,0.066187,0.000521,9.63e-05,0.00699,0.00711,0.0082,0.00175,0.00197,1,1
conf_picard_medium,0.94407,0.067387,0.002456,9.33e-05,0.00704,0.00732,0.0194,0.00504,0.00200,1,0
conf_picard_medium,0.95127,0.062615,0.001430,9.07e-05,0.00725,0.00737,0.0080,0.00216,0.00525,1,0
conf_picard_medium,0.95848,0.062587,0.000474,7.96e-05,0.00736,0.00741,0.0037,0.00556,0.00530,1,0
conf_picard_medium,0.96569,0.060083,0.001976,8.15e-05,0.00703,0.00728,0.0169,0.00165,0.00545,1,1
conf_picard_medium,0.97289,0.061300,0.000185,8.43e-05,0.00737,0.00705,0.0218,0.00179,0.00176,0,1
conf_picard_medium,0.98010,0.062167,0.001890,1.09e-04,0.00740,0.00711,0.0201,0.00526,0.00165,1,0
conf_picard_medium,0.98731,0.057723,0.001832,1.30e-04,0.00748,0.00728,0.0136,0.00195,0.00520,1,0
conf_picard_medium,0.99451,0.058384,0.000547,1.65e-04,0.00769,0.00718,0.0343,0.00515,0.00507,0,1
conf_picard_medium,1.00172,0.059988,0.001613,1.84e-04,0.00748,0.00740,0.0055,0.00517,0.00213,0,1
conf_picard_medium,1.00893,0.056851,0.000982,2.27e-04,0.00731,0.00751,0.0137,0.00526,0.00550,0,0
conf_picard_medium,1.01613,0.056220,0.000993,2.27e-04,0.00730,0.00730,0.0001,0.00526,0.00531,0,1
